Parcel_name,Transfer_date,Plot_number,Land_area,Volme_rate,Winner
栖霞区燕子矶新城大全地块(NO.2019G26)成交信息,2019/6/18,NO.2019G26,6075.73平方米 ,≤1.2,宝爱捷（中国）汽车投资有限公司
江宁区高新园格致路以南、知行路以东地块(NO.2019G27)成交信息,2019/6/18,NO.2019G27,19127.19平方米 ,≤2.3,南京江宁城市建设集团有限公司
江宁区湖熟街道瑞鑫路以东、友谊路以北地块(NO.2019G28)成交信息,2019/6/18,NO.2019G28,44629.23平方米 ,≤2.0,南京裕锦房地产开发有限公司
浦口区江浦街道虎桥路以南、研新路以东02地块(NO.2019G29)成交信息,2019/6/18,NO.2019G29,64014.09平方米 ,2.71,重庆中交丽景置业有限公司
浦口区桥林街道浦乌路以西、双峰路以南地块(NO.2019G30)成交信息,2019/6/18,NO.2019G30,98496.15平方米 ,≤1.8,江苏水利房地产开发有限公司
浦口区江浦街道光明路以南、文德西路以东地块(NO.2019G31)成交信息,2019/6/18,NO.2019G31,26591.29平方米 ,≤4.5,南京浦口交建投资管理有限公司
建邺区江心洲街道07-024地块(NO.2019G08)成交信息,2019/4/30,NO.2019G08,36133.97平方米 ,≤1.35,南京荣盛置业有限公司
栖霞区龙潭新城一（二）地块(NO.2019G09)成交信息,2019/4/30,NO.2019G09,84928.78平方米 ,≤2.0,南京正荣江滨投资发展有限公司
江宁区谷里街道安康路以南、经四路以东地块(NO.2019G11)成交信息,2019/4/30,NO.2019G11,33035.34平方米 ,≤1.1,浙江卓瑞企业管理有限公司
江宁区禄口街道湖泰路以东、肖山路以南地块(NO.2019G12)成交信息,2019/4/30,NO.2019G12,73686.06平方米 ,≤1.4,上海垚鉴贸易有限公司|南京红太阳房地产开发有限公司
江宁区汤山温泉旅游度假区圣汤大道以北、延祥路以东地块(NO.2019G13)成交信息,2019/4/30,NO.2019G13,75733.14平方米 ,≤1.0,南京家乐家商业广场有限公司
六合区龙池街道茉湖畔3号地块(NO.2019G14)成交信息,2019/4/30,NO.2019G14,32207.72平方米 ,≤2.0,南京荣盛置业有限公司
雨花台区经济开发区汽贸园S0a010-01-07-11地块(NO.2019G15)成交信息,2019/4/30,NO.2019G15,5977.60平方米 ,≤2.0,南京新丰泰汽车销售服务有限公司
栖霞区仙新路以东地块(No.宁 2019GY04)成交信息,2019/4/30,No.宁 2019GY04,36544.48平方米 ,≤2.5,江苏曼恩新材料科技有限公司
白下高新开发区030-08-18地块（核心北）(No.宁 2019GY06)成交信息,2019/4/30,No.宁 2019GY06,29012.57平方米 ,≤5.5,南京秦淮科技创新创业发展集团有限公司
栖霞区宝港路以西地块(No.宁 2019GY05)成交信息,2019/4/30,No.宁 2019GY05,27327.64平方米 ,≤1.5,南京宇杰物流有限公司
栖霞区龙潭新城一（一）地块(NO.2019G10)成交信息,2019/4/30,NO.2019G10,63064.33平方米 ,1.97,南京荣盛置业有限公司
江北新区浦珠北路东侧、华江路北侧19-05商住地块(NO.新区2019G01)成交信息,2019/5/7,NO.新区2019G01,7232.43平方米 ,≤2.5,南京弘阳瑞尚房地产开发有限公司
江北新区东大路地铁站26-27商办地块(NO.新区2019G03)成交信息,2019/5/7,NO.新区2019G03,11300.62平方米 ,≤3.0,南京三松置业有限公司
江北新区龙王山西侧商办地块(NO.新区2019G02)成交信息,2019/5/7,NO.新区2019G02,64748.93平方米 ,≤2.5,南京北联建设发展有限公司
建邺区河西南部19号地块(No.宁2019GY07)成交信息,2019/5/21,No.宁2019GY07,59569.99平方米 ,4.0,MI Space NJ Limited
江北新区天浦路以北、浦滨路以东地块(NO.新区2019G04)成交信息,2019/6/5,NO.新区2019G04,104378.4平方米 ,3.31,南京威丰房地产开发有限公司
玄武区孝陵卫街A、B地块(NO.2019G16)成交信息,2019/6/5,NO.2019G16,23569.84平方米 ,2.0,南京金名城置业有限公司
秦淮区朝天宫街道范家塘地块(NO.2019G17)成交信息,2019/6/5,NO.2019G17,15364.65平方米 ,1.76,南京栖霞建设股份有限公司
雨花台区板桥新城十一期地块(NO.2019G18)成交信息,2019/6/5,NO.2019G18,92896.07平方米 ,2.25,南京惠都企业管理有限公司
六合区龙池街道龙腾路以南2号地块(NO.2019G19)成交信息,2019/6/5,NO.2019G19,111688.03平方米 ,≤2.2,保利江苏房地产发展有限公司
六合区金牛湖街道海洋路以北地块(NO.2019G20)成交信息,2019/6/5,NO.2019G20,378612.93平方米 ,0.8,文投控股股份有限公司
六合区金牛湖街道金江公路西侧1、2、3号地块(NO.2019G21)成交信息,2019/6/5,NO.2019G21,129465.76平方米 ,1.43,文投控股股份有限公司
雨花台区中国（南京）软件谷北辅道A地块(No.宁2019GY08)成交信息,2019/6/11,No.宁2019GY08,10970.96平方米 ,≤3.2,南京华讯方舟通信设备有限公司
雨花台区中国（南京）软件谷北辅道C地块(No.宁2019GY09)成交信息,2019/6/11,No.宁2019GY09,10248.8平方米 ,≤3.2,先锋信息技术股份有限公司
